year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Swift,Minor Arterial,30813200,119,0.5,0.7
2016,Swift,Minor Collector,6950129,282,0.5,0.7
2016,Swift,Principal Arterial,48387527,127,0.7,1
2016,Todd,Interstate,44346331,24,0.7,1
2016,Todd,Local,43424609,2574,0.3,0.5
2016,Todd,Major Collector,66654948,513,0.5,0.7
2016,Todd,Minor Arterial,24614366,81,0.5,0.7
2016,Todd,Minor Collector,22013335,368,0.5,0.7
2016,Todd,Principal Arterial,112142100,186,0.7,1
2016,Traverse,Local,12624403,1515,0.3,0.5
2016,Traverse,Major Collector,12080808,273,0.5,0.7
2016,Traverse,Minor Arterial,21783474,120,0.5,0.7
2016,Traverse,Minor Collector,1569413,195,0.5,0.7
2016,Wabasha,Local,35281245,1287,0.3,0.5
2016,Wabasha,Major Collector,44549792,313,0.5,0.7
2016,Wabasha,Minor Arterial,68868277,166,0.5,0.7
2016,Wabasha,Minor Collector,12936556,159,0.5,0.7
2016,Wabasha,Principal Arterial,60331197,99,0.7,1
2016,Wadena,Local,27736389,1316,0.3,0.5
2016,Wadena,Major Collector,35307550,271,0.5,0.7
2016,Wadena,Minor Arterial,1255600,2,0.5,0.7
2016,Wadena,Minor Collector,9590328,193,0.5,0.7
2016,Wadena,Principal Arterial,89902000,112,0.7,1
2016,Waseca,Freeway/Expressway,55292751,81,0.7,1
2016,Waseca,Local,26594129,1091,0.3,0.5
2016,Waseca,Major Collector,34505217,225,0.5,0.7
2016,Waseca,Minor Arterial,63964175,173,0.5,0.7
2016,Waseca,Minor Collector,13043718,212,0.5,0.7
2016,Waseca,Principal Arterial,4773981,5,0.7,1
2016,Washington,Freeway/Expressway,138949295,36,0.7,1
2016,Washington,Interstate,772069170,137,0.7,1
2016,Washington,Local,337526729,2679,0.3,0.5
2016,Washington,Major Collector,147935604,320,0.5,0.7
2016,Washington,Minor Arterial,789659183,705,0.5,0.7
2016,Washington,Minor Collector,19323619,122,0.5,0.7
2016,Washington,Principal Arterial,209041779,72,0.7,1
2016,Watonwan,Freeway/Expressway,6891196,9,0.7,1
2016,Watonwan,Local,23556195,1150,0.3,0.5
2016,Watonwan,Major Collector,28944816,239,0.5,0.7
2016,Watonwan,Minor Arterial,26283466,98,0.5,0.7
2016,Watonwan,Minor Collector,8087407,192,0.5,0.7
